Depth	GR2
3106.125	0.6
3106.25	0.602
3106.375	0.597
3106.5	0.586
3106.625	0.572
3106.75	0.557
3106.875	0.55
3107	0.548
3107.125	0.546
3107.25	0.539
3107.375	0.51
3107.5	0.459
3107.625	0.42
3107.75	0.404
3107.875	0.405
3108	0.432
3108.125	0.473
3108.25	0.499
3108.375	0.516
3108.5	0.539
3108.625	0.556
3108.75	0.551
3108.875	0.517
3109	0.479
3109.125	0.444
3109.25	0.411
3109.375	0.382
3109.5	0.362
3109.625	0.369
3109.75	0.4
3109.875	0.441
3110	0.462
3110.125	0.473
3110.25	0.49
3110.375	0.507
3110.5	0.521
3110.625	0.531
3110.75	0.532
3110.875	0.535
3111	0.539
3111.125	0.54
3111.25	0.531
3111.375	0.517
3111.5	0.514
3111.625	0.527
3111.75	0.547
3111.875	0.56
3112	0.562
3112.125	0.557
3112.25	0.557
3112.375	0.561
3112.5	0.567
3112.625	0.58
3112.75	0.595
3112.875	0.618
3113	0.642
3113.125	0.653
3113.25	0.652
3113.375	0.644
3113.5	0.633
3113.625	0.613
3113.75	0.574
3113.875	0.54
3114	0.507
3114.125	0.478
3114.25	0.462
3114.375	0.449
3114.5	0.446
3114.625	0.448
3114.75	0.46
3114.875	0.473
3115	0.478
3115.125	0.472
3115.25	0.459
3115.375	0.44
3115.5	0.413
3115.625	0.397
3115.75	0.396
3115.875	0.394
3116	0.368
3116.125	0.313
3116.25	0.271
3116.375	0.254
3116.5	0.254
3116.625	0.264
3116.75	0.269
3116.875	0.252
3117	0.218
3117.125	0.173
3117.25	0.134
3117.375	0.125
3117.5	0.14
3117.625	0.165
3117.75	0.187
3117.875	0.197
3118	0.186
3118.125	0.162
3118.25	0.139
3118.375	0.134
3118.5	0.141
3118.625	0.141
3118.75	0.127
3118.875	0.093
3119	0.058
3119.125	0.042
3119.25	0.043
3119.375	0.055
3119.5	0.066
3119.625	0.082
3119.75	0.098
3119.875	0.132
3120	0.204
3120.125	0.275
3120.25	0.341
3120.375	0.396
3120.5	0.428
3120.625	0.459
3120.75	0.475
3120.875	0.479
3121	0.486
3121.125	0.496
3121.25	0.506
3121.375	0.496
3121.5	0.467
3121.625	0.433
3121.75	0.406
3121.875	0.404
3122	0.403
3122.125	0.394
3122.25	0.373
3122.375	0.348
3122.5	0.338
3122.625	0.345
3122.75	0.375
3122.875	0.408
3123	0.437
3123.125	0.459
3123.25	0.468
3123.375	0.479
3123.5	0.487
3123.625	0.484
3123.75	0.472
3123.875	0.465
3124	0.48
3124.125	0.526
3124.25	0.576
3124.375	0.621
3124.5	0.655
3124.625	0.655
3124.75	0.626
3124.875	0.589
3125	0.573
3125.125	0.583
3125.25	0.606
3125.375	0.65
3125.5	0.71
3125.625	0.743
3125.75	0.74
3125.875	0.719
3126	0.7
3126.125	0.682
3126.25	0.66
3126.375	0.647
3126.5	0.645
3126.625	0.648
3126.75	0.647
3126.875	0.63
3127	0.604
3127.125	0.561
3127.25	0.509
3127.375	0.479
3127.5	0.463
3127.625	0.449
3127.75	0.438
3127.875	0.415
3128	0.369
3128.125	0.329
3128.25	0.301
3128.375	0.28
3128.5	0.266
3128.625	0.256
3128.75	0.255
3128.875	0.263
3129	0.288
3129.125	0.32
3129.25	0.352
3129.375	0.387
3129.5	0.409
3129.625	0.434
3129.75	0.46
3129.875	0.465
3130	0.455
3130.125	0.443
3130.25	0.435
3130.375	0.427
3130.5	0.422
3130.625	0.421
3130.75	0.429
3130.875	0.442
3131	0.457
3131.125	0.472
3131.25	0.483
3131.375	0.488
3131.5	0.488
3131.625	0.48
3131.75	0.48
3131.875	0.494
3132	0.521
3132.125	0.557
3132.25	0.584
3132.375	0.605
3132.5	0.623
3132.625	0.627
3132.75	0.625
3132.875	0.617
3133	0.606
3133.125	0.589
3133.25	0.569
3133.375	0.543
3133.5	0.507
3133.625	0.485
3133.75	0.487
3133.875	0.504
3134	0.52
3134.125	0.527
3134.25	0.549
3134.375	0.581
3134.5	0.626
3134.625	0.661
3134.75	0.666
3134.875	0.657
3135	0.648
3135.125	0.648
3135.25	0.666
3135.375	0.691
3135.5	0.713
3135.625	0.718
3135.75	0.709
3135.875	0.704
3136	0.701
3136.125	0.699
3136.25	0.69
3136.375	0.677
3136.5	0.664
3136.625	0.649
3136.75	0.64
3136.875	0.632
3137	0.629
3137.125	0.638
3137.25	0.671
3137.375	0.715
3137.5	0.735
3137.625	0.725
3137.75	0.697
3137.875	0.671
3138	0.648
3138.125	0.63
3138.25	0.627
3138.375	0.64
3138.5	0.655
3138.625	0.654
3138.75	0.63
3138.875	0.602
3139	0.569
3139.125	0.504
3139.25	0.429
3139.375	0.325
3139.5	0.219
3139.625	0.141
3139.75	0.073
3139.875	0.044
3140	0.035
3140.125	0.047
3140.25	0.07
3140.375	0.077
3140.5	0.059
3140.625	0.031
3140.75	0.013
3140.875	0.008
3141	0.014
3141.125	0.018
3141.25	0.019
3141.375	0.021
3141.5	0.034
3141.625	0.053
3141.75	0.074
3141.875	0.093
3142	0.099
3142.125	0.095
3142.25	0.094
3142.375	0.099
3142.5	0.103
3142.625	0.101
3142.75	0.102
3142.875	0.132
3143	0.181
3143.125	0.229
3143.25	0.249
3143.375	0.225
3143.5	0.172
3143.625	0.115
3143.75	0.094
3143.875	0.102
3144	0.124
3144.125	0.145
3144.25	0.171
3144.375	0.195
3144.5	0.207
3144.625	0.202
3144.75	0.183
3144.875	0.154
3145	0.126
3145.125	0.119
3145.25	0.139
3145.375	0.189
3145.5	0.248
3145.625	0.35
3145.75	0.471
3145.875	0.609
3146	0.781
3146.125	0.89
3146.25	0.955
3146.375	0.996
3146.5	1
3146.625	0.991
3146.75	0.969
3146.875	0.933
3147	0.839
3147.125	0.672
3147.25	0.549
3147.375	0.508
3147.5	0.509
3147.625	0.545
3147.75	0.58
3147.875	0.594
3148	0.61
3148.125	0.635
3148.25	0.651
3148.375	0.654
3148.5	0.65
3148.625	0.648
3148.75	0.645
3148.875	0.637
3149	0.622
3149.125	0.608
3149.25	0.605
3149.375	0.594
3149.5	0.559
3149.625	0.522
3149.75	0.49
3149.875	0.449
3150	0.417
3150.125	0.392
3150.25	0.387
3150.375	0.405
3150.5	0.43
3150.625	0.451
3150.75	0.464
3150.875	0.486
3151	0.507
3151.125	0.525
3151.25	0.532
3151.375	0.527
3151.5	0.522
3151.625	0.529
3151.75	0.54
3151.875	0.545
3152	0.554
3152.125	0.568
3152.25	0.588
3152.375	0.602
3152.5	0.602
3152.625	0.595
3152.75	0.59
3152.875	0.588
3153	0.586
3153.125	0.585
3153.25	0.579
3153.375	0.57
3153.5	0.567
3153.625	0.576
3153.75	0.587
3153.875	0.599
3154	0.62
3154.125	0.639
3154.25	0.652
3154.375	0.659
3154.5	0.659
3154.625	0.659
3154.75	0.657
3154.875	0.655
3155	0.655
3155.125	0.656
3155.25	0.655
3155.375	0.647
