_GR	_RT	_AC	_CAL	_DEN	_CNL	_RXO
95.644	28.616	65.899	9.537	2.529	12.188	25.075
93.811	28.673	65.859	9.558	2.526	12.261	25.174
91.932	28.742	65.87	9.58	2.521	12.104	25.309
91.071	28.767	66.052	9.584	2.517	11.713	25.385
91.189	28.745	66.337	9.569	2.514	10.96	25.409
91.971	28.692	66.575	9.551	2.512	10.36	25.396
93.988	28.556	66.66	9.545	2.512	10.394	25.276
96.51	28.315	66.587	9.552	2.514	10.532	25.019
97.562	28.129	66.269	9.568	2.515	10.571	24.797
97.047	28.042	65.713	9.598	2.516	10.435	24.665
96.054	27.999	65.187	9.646	2.516	10.239	24.594
95.771	27.973	64.971	9.682	2.514	10.174	24.586
96.46	27.857	64.951	9.713	2.51	10.372	24.544
96.746	27.612	65.098	9.745	2.502	10.887	24.428
96.051	27.374	65.559	9.758	2.495	11.383	24.292
94.981	27.044	66.19	9.752	2.487	11.751	24.035
94.446	26.413	66.821	9.74	2.477	11.933	23.478
94.845	25.784	67.113	9.745	2.471	11.811	22.909
95.893	25.109	67.253	9.791	2.466	11.52	22.342
96.991	24.523	67.34	9.843	2.462	11.266	21.882
97.892	24.323	67.071	9.854	2.455	11.181	21.804
99.258	24.525	66.553	9.813	2.444	11.116	22.144
100.559	24.983	65.914	9.758	2.438	11.08	22.678
101.74	25.531	65.577	9.721	2.44	11.157	23.224
101.868	25.997	65.328	9.691	2.455	11.352	23.592
100.528	26.079	65.023	9.675	2.47	11.515	23.555
97.6	25.911	65.111	9.663	2.48	11.581	23.321
93.877	25.648	65.414	9.651	2.489	11.496	23.086
92.196	25.495	65.577	9.643	2.492	11.29	23.029
92.431	25.507	65.59	9.633	2.494	10.932	23.155
92.773	25.605	65.484	9.622	2.497	10.551	23.35
92.215	25.784	65.26	9.613	2.504	10.318	23.585
91.475	25.955	65.178	9.607	2.513	10.222	23.824
91.453	25.977	65.334	9.606	2.519	10.209	23.914
91.649	25.764	65.47	9.607	2.522	9.96	23.831
91.202	25.246	65.668	9.607	2.522	9.531	23.553
90.654	24.742	66.082	9.603	2.519	9.328	23.265
